0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:01:15 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:01:15 +0900] "GET /testj/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:01:25 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:01:25 +0900] "GET /testj/resources/js/main.js HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:01:25 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:01:25 +0900] "GET /testj/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:01:25 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:01:25 +0900] "GET /testj/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:01:26 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:01:26 +0900] "GET /testj/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:09:19 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:09:19 +0900] "GET /testj/resources/js/main.js HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:09:19 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:09:19 +0900] "GET /testj/views/testjs/sample1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:09:21 +0900] "GET /testj/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:09:21 +0900] "GET /testj/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2024:12:09:21 +0900] "GET /testj/ HTTP/1.1" 304 -
